Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;São Bernado do Campo;Membro;Feminino;Saúde e Beleza;74.69;7;261.415;5.489.715;01/05/2019;13:08;Carteira Digital;522.83;4.761.904.762;261.415;9.1
226-31-3081;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;15.28;5;3.82;80.22;03/08/2019;10:29;Dinheiro;76.4;4.761.904.762;3.82;9.6
631-41-3108;A;São Bernado do Campo;Normal;Masculino;Casa e Estilo de Vida;46.33;7;162.155;3.405.255;03/03/2019;13:23;Cartão de Crédito;324.31;4.761.904.762;162.155;7.4
123-19-1176;A;São Bernado do Campo;Membro;Masculino;Saúde e Beleza;58.22;8;23.288;489.048;1/27/2019;20:33;Carteira Digital;465.76;4.761.904.762;23.288;8.4
373-73-7910;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;86.31;7;302.085;6.343.785;02/08/2019;10:37;Carteira Digital;604.17;4.761.904.762;302.085;5.3
699-14-3026;C;São Paulo;Normal;Masculino;Acessórios Eletrônicos;85.39;7;298.865;6.276.165;3/25/2019;18:30;Carteira Digital;597.73;4.761.904.762;298.865;4.1
355-53-5943;A;São Bernado do Campo;Membro;Feminino;Acessórios Eletrônicos;68.84;6;20.652;433.692;2/25/2019;14:36;Carteira Digital;413.04;4.761.904.762;20.652;5.8
315-22-5665;C;São Paulo;Normal;Feminino;Casa e Estilo de Vida;73.56;10;36.78;772.38;2/24/2019;11:38;Carteira Digital;735.6;4.761.904.762;36.78;8
665-32-9167;A;São Bernado do Campo;Membro;Feminino;Saúde e Beleza;36.26;2;3.626;76.146;01/10/2019;17:15;Cartão de Crédito;72.52;4.761.904.762;3.626;7.2
692-92-5582;B;Guarulhos;Membro;Feminino;Alimentos e Bebidas;54.84;3;8.226;172.746;2/20/2019;13:27;Cartão de Crédito;164.52;4.761.904.762;8.226;5.9
351-62-0822;B;Guarulhos;Membro;Feminino;Acessórios de Moda;14.48;4;2.896;60.816;02/06/2019;18:07;Carteira Digital;57.92;4.761.904.762;2.896;4.5
529-56-3974;B;Guarulhos;Membro;Masculino;Acessórios Eletrônicos;25.51;4;5.102;107.142;03/09/2019;17:03;Dinheiro;102.04;4.761.904.762;5.102;6.8
365-64-0515;A;São Bernado do Campo;Normal;Feminino;Acessórios Eletrônicos;46.95;5;117.375;2.464.875;02/12/2019;10:25;Carteira Digital;234.75;4.761.904.762;117.375;7.1
252-56-2699;A;São Bernado do Campo;Normal;Masculino;Alimentos e Bebidas;43.19;10;21.595;453.495;02/07/2019;16:48;Carteira Digital;431.9;4.761.904.762;21.595;8.2
829-34-3910;A;São Bernado do Campo;Normal;Feminino;Saúde e Beleza;71.38;10;35.69;749.49;3/29/2019;19:21;Dinheiro;713.8;4.761.904.762;35.69;5.7
299-46-1805;B;Guarulhos;Membro;Feminino;Esportes e Viagem;93.72;6;28.116;590.436;1/15/2019;16:19;Dinheiro;562.32;4.761.904.762;28.116;4.5
656-95-9349;A;São Bernado do Campo;Membro;Feminino;Saúde e Beleza;68.93;7;241.255;5.066.355;03/11/2019;11:03;Cartão de Crédito;482.51;4.761.904.762;241.255;4.6
765-26-6951;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;72.61;6;21.783;457.443;01/01/2019;10:39;Cartão de Crédito;435.66;4.761.904.762;21.783;6.9
329-62-1586;A;São Bernado do Campo;Normal;Masculino;Alimentos e Bebidas;54.67;3;82.005;1.722.105;1/21/2019;18:00;Cartão de Crédito;164.01;4.761.904.762;82.005;8.6
319-50-3348;B;Guarulhos;Normal;Feminino;Casa e Estilo de Vida;40.3;2;4.03;84.63;03/11/2019;15:30;Carteira Digital;80.6;4.761.904.762;4.03;4.4
300-71-4605;C;São Paulo;Membro;Masculino;Acessórios Eletrônicos;86.04;5;21.51;451.71;2/25/2019;11:24;Carteira Digital;430.2;4.761.904.762;21.51;4.8
371-85-5789;B;Guarulhos;Normal;Masculino;Saúde e Beleza;87.98;3;13.197;277.137;03/05/2019;10:40;Carteira Digital;263.94;4.761.904.762;13.197;5.1
273-16-6619;B;Guarulhos;Normal;Masculino;Casa e Estilo de Vida;33.2;2;3.32;69.72;3/15/2019;12:20;Cartão de Crédito;66.4;4.761.904.762;3.32;4.4
636-48-8204;A;São Bernado do Campo;Normal;Masculino;Acessórios Eletrônicos;34.56;5;8.64;181.44;2/17/2019;11:15;Carteira Digital;172.8;4.761.904.762;8.64;9.9
549-59-1358;A;São Bernado do Campo;Membro;Masculino;Esportes e Viagem;88.63;3;132.945;2.791.845;03/02/2019;17:36;Carteira Digital;265.89;4.761.904.762;132.945;6
227-03-5010;A;São Bernado do Campo;Membro;Feminino;Casa e Estilo de Vida;52.59;8;21.036;441.756;3/22/2019;19:20;Cartão de Crédito;420.72;4.761.904.762;21.036;8.5
649-29-6775;B;Guarulhos;Normal;Masculino;Acessórios de Moda;33.52;1;1.676;35.196;02/08/2019;15:31;Dinheiro;33.52;4.761.904.762;1.676;6.7
189-17-4241;A;São Bernado do Campo;Normal;Feminino;Acessórios de Moda;87.67;2;8.767;184.107;03/10/2019;12:17;Cartão de Crédito;175.34;4.761.904.762;8.767;7.7
145-94-9061;B;Guarulhos;Normal;Feminino;Alimentos e Bebidas;88.36;5;22.09;463.89;1/25/2019;19:48;Dinheiro;441.8;4.761.904.762;22.09;9.6
848-62-7243;A;São Bernado do Campo;Normal;Masculino;Saúde e Beleza;24.89;9;112.005;2.352.105;3/15/2019;15:36;Dinheiro;224.01;4.761.904.762;112.005;7.4
871-79-8483;B;Guarulhos;Normal;Masculino;Acessórios de Moda;94.13;5;235.325;4.941.825;2/25/2019;19:39;Cartão de Crédito;470.65;4.761.904.762;235.325;4.8
149-71-6266;B;Guarulhos;Membro;Masculino;Esportes e Viagem;78.07;9;351.315;7.377.615;1/28/2019;12:43;Dinheiro;702.63;4.761.904.762;351.315;4.5
640-49-2076;B;Guarulhos;Normal;Masculino;Esportes e Viagem;83.78;8;33.512;703.752;01/10/2019;14:49;Dinheiro;670.24;4.761.904.762;33.512;5.1
595-11-5460;A;São Bernado do Campo;Normal;Masculino;Saúde e Beleza;96.58;2;9.658;202.818;3/15/2019;10:12;Cartão de Crédito;193.16;4.761.904.762;9.658;5.1
183-56-6882;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;99.42;4;19.884;417.564;02/06/2019;10:42;Carteira Digital;397.68;4.761.904.762;19.884;7.5
232-16-2483;C;São Paulo;Membro;Feminino;Esportes e Viagem;68.12;1;3.406;71.526;01/07/2019;12:28;Carteira Digital;68.12;4.761.904.762;3.406;6.8
129-29-8530;A;São Bernado do Campo;Membro;Masculino;Esportes e Viagem;62.62;5;15.655;328.755;03/10/2019;19:15;Carteira Digital;313.1;4.761.904.762;15.655;7
272-65-1806;A;São Bernado do Campo;Normal;Feminino;Acessórios Eletrônicos;60.88;9;27.396;575.316;1/15/2019;17:17;Carteira Digital;547.92;4.761.904.762;27.396;4.7
333-73-7901;C;São Paulo;Normal;Feminino;Saúde e Beleza;54.92;8;21.968;461.328;3/23/2019;13:24;Carteira Digital;439.36;4.761.904.762;21.968;7.6
777-82-7220;B;Guarulhos;Membro;Masculino;Casa e Estilo de Vida;30.12;8;12.048;253.008;03/03/2019;13:01;Dinheiro;240.96;4.761.904.762;12.048;7.7
